"BLN","TGL","DHUHUR","ASHAR","MAGHRIB","ISYA","SUBUH","TERBIT","DHUHA"
7,30,30/12/1899 11:39:00,30/12/1899 14:53:00,30/12/1899 17:31:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:42:00,30/12/1899 06:06:00
7,31,30/12/1899 11:39:00,30/12/1899 14:53:00,30/12/1899 17:31:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:42:00,30/12/1899 06:06:00
8,1,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:42:00,30/12/1899 06:06:00
8,2,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:42:00,30/12/1899 06:06:00
8,3,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:42:00,30/12/1899 06:06:00
8,4,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:42:00,30/12/1899 06:06:00
8,5,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:42:00,30/12/1899 06:06:00
8,6,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:41:00,30/12/1899 06:05:00
8,7,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:41:00,30/12/1899 06:05:00
8,8,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:41:00,30/12/1899 06:05:00
8,9,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:41:00,30/12/1899 06:05:00
8,10,30/12/1899 11:38:00,30/12/1899 14:58:00,30/12/1899 17:32:00,30/12/1899 18:43:00,30/12/1899 04:26:00,30/12/1899 05:41:00,30/12/1899 06:05:00
8,11,30/12/1899 11:37:00,30/12/1899 14:57:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:25:00,30/12/1899 05:39:00,30/12/1899 06:03:00
8,12,30/12/1899 11:37:00,30/12/1899 14:57:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:25:00,30/12/1899 05:39:00,30/12/1899 06:03:00
8,13,30/12/1899 11:37:00,30/12/1899 14:57:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:25:00,30/12/1899 05:39:00,30/12/1899 06:03:00
8,14,30/12/1899 11:37:00,30/12/1899 14:57:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:25:00,30/12/1899 05:39:00,30/12/1899 06:03:00
8,15,30/12/1899 11:37:00,30/12/1899 14:57:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:25:00,30/12/1899 05:39:00,30/12/1899 06:03:00
8,16,30/12/1899 11:36:00,30/12/1899 14:55:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:23:00,30/12/1899 05:37:00,30/12/1899 06:01:00
8,17,30/12/1899 11:36:00,30/12/1899 14:55:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:23:00,30/12/1899 05:37:00,30/12/1899 06:01:00
8,18,30/12/1899 11:36:00,30/12/1899 14:55:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:23:00,30/12/1899 05:37:00,30/12/1899 06:01:00
8,19,30/12/1899 11:36:00,30/12/1899 14:55:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:23:00,30/12/1899 05:37:00,30/12/1899 06:01:00
8,20,30/12/1899 11:36:00,30/12/1899 14:55:00,30/12/1899 17:32:00,30/12/1899 18:42:00,30/12/1899 04:23:00,30/12/1899 05:37:00,30/12/1899 06:01:00
8,21,30/12/1899 11:35:00,30/12/1899 14:53:00,30/12/1899 17:32:00,30/12/1899 18:41:00,30/12/1899 04:22:00,30/12/1899 05:35:00,30/12/1899 05:59:00
8,22,30/12/1899 11:35:00,30/12/1899 14:53:00,30/12/1899 17:32:00,30/12/1899 18:41:00,30/12/1899 04:22:00,30/12/1899 05:35:00,30/12/1899 05:59:00
8,23,30/12/1899 11:35:00,30/12/1899 14:53:00,30/12/1899 17:32:00,30/12/1899 18:41:00,30/12/1899 04:22:00,30/12/1899 05:35:00,30/12/1899 05:59:00
8,24,30/12/1899 11:35:00,30/12/1899 14:53:00,30/12/1899 17:32:00,30/12/1899 18:41:00,30/12/1899 04:22:00,30/12/1899 05:35:00,30/12/1899 05:59:00
8,25,30/12/1899 11:35:00,30/12/1899 14:53:00,30/12/1899 17:32:00,30/12/1899 18:41:00,30/12/1899 04:22:00,30/12/1899 05:35:00,30/12/1899 05:59:00
8,26,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
8,27,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
8,28,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
8,29,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
8,30,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
8,31,30/12/1899 11:33:00,30/12/1899 14:52:00,30/12/1899 17:31:00,30/12/1899 18:41:00,30/12/1899 04:20:00,30/12/1899 05:33:00,30/12/1899 05:57:00
9,1,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,2,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,3,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,4,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,5,30/12/1899 11:32:00,30/12/1899 14:50:00,30/12/1899 17:31:00,30/12/1899 18:40:00,30/12/1899 04:18:00,30/12/1899 05:27:00,30/12/1899 05:54:00
9,6,30/12/1899 11:31:00,30/12/1899 14:47:00,30/12/1899 17:31:00,30/12/1899 18:39:00,30/12/1899 04:16:00,30/12/1899 05:25:00,30/12/1899 05:52:00
